Langevin with tau_T = 100 fs and tau_P = 1000 fs

P_ext [Pa]	run_id	<T> [K]	sigma_T [K]	<P> [MPa]	sigma_P [MPa]
1e6	run26	299.764676333	19.9065611223	0.721199893615	528.825348893
1e6	run27	299.236176457	19.8462261426	0.956577879073	529.458082826
1e6	run28	299.739970249	19.7237616122	0.841895847948	531.868245157
1e6	run29	299.461691189	19.88645953	0.828130044737	533.505486307
1e6	run30	299.920279385	19.9163938442	0.95716754932	529.684526931
1e6	run31	299.611608818	19.9614829284	0.855880242148	527.144113513
1e6	run32	300.18120585	19.7430392667	0.905064811015	536.795445465
1e6	run33	299.668172678	19.9660482321	1.01759382336	532.367700649
1e6	run34	300.232324787	19.7619068373	1.10923524791	533.01545718
1e6	run35	299.957540465	19.8976700201	0.980588589256	532.81094992
1e6	run36	300.112751147	19.923017319	1.00365008082	528.769369139
1e6	run37	299.751487004	19.9708235567	0.920005577508	528.421144915
1e6	run38	300.221779092	19.8691205051	0.971918810387	528.649161103
1e6	run39	299.693411008	19.8512411993	0.990161242485	529.001077643
1e6	run40	299.776619848	19.7180522191	0.925152849975	534.368025668
1e6	run41	299.629467037	19.9089988628	0.940415816167	527.585890926
1e6	run42	300.049221598	20.0086119214	0.923318223601	529.424459103
1e6	run43	299.968760477	19.9803440223	0.825417869803	531.509255536
1e6	run44	300.279032242	19.9937031255	0.899763866624	526.775416906
1e6	run45	300.240196925	19.7975533775	0.904298740377	528.024710408
1e6	run46	299.564290363	19.744151154	0.955133995317	533.304289715
1e6	run47	299.713648733	19.8593212255	1.00496514326	525.597364329
1e6	run48	299.706103119	19.9129439998	0.874743969347	532.394264287
1e6	run49	299.512112227	19.7993426924	0.961365709009	530.390270928
1e6	run50	299.903446183	19.8095468419	1.00649533247	529.927294354
3e6	run26	300.093575124	19.8687656784	2.82753944762	532.761183414
3e6	run27	299.912413163	19.7962600421	2.81464432742	527.978916581
3e6	run28	299.876516664	19.9575196022	2.84112469302	528.131952735
3e6	run29	299.90644039	19.8320134798	2.89902246179	527.176022456
3e6	run30	299.786909406	19.799048046	2.87823977303	533.608294147
3e6	run31	299.661757428	19.8605612608	3.15494504576	533.569834075
3e6	run32	300.0137549	19.9163016926	2.89765286105	536.265594001
3e6	run33	299.956152552	19.9394861274	2.86639030884	530.792347748
3e6	run34	299.773565814	19.7345649388	2.70341322732	528.494121006
3e6	run35	299.498974918	19.9641287753	2.90401384934	534.178321088
3e6	run36	299.588032623	19.7889915094	2.76075543622	536.000248992
3e6	run37	299.906746529	19.8964116231	2.98656055144	530.028535821
3e6	run38	299.423808408	19.7708509206	2.82353338482	530.155577074
3e6	run39	300.193946931	19.7734679395	2.83633669654	530.957453586
3e6	run40	299.805759753	19.8249860704	2.98649452946	530.889173856
3e6	run41	299.83313333	19.8967887521	3.08558836354	534.216619944
3e6	run42	299.724294681	19.8521146156	2.857427928	530.591746747
3e6	run43	300.213145076	19.7480556295	2.99449276954	536.63329825
3e6	run44	299.906061375	19.8725941307	2.88391685148	529.025847238
3e6	run45	299.607257091	19.8572153858	2.78540150059	527.614059037
3e6	run46	299.648813946	19.9243905104	2.97501540489	526.934299185
3e6	run47	299.548698321	19.8497986789	3.00190012668	533.072558235
3e6	run48	299.708020752	19.7743212842	2.90660735578	534.457919174
3e6	run49	299.603411296	19.7464090238	2.73800854996	529.685401971
3e6	run50	299.781496398	19.9008891289	2.80344171945	532.101980298
1e7	run26	299.360399808	19.9544426376	9.97394647115	531.53571698
1e7	run27	299.728188506	19.9413539525	10.0374497843	532.155210774
1e7	run28	299.79207589	19.8911468482	9.84086926074	531.132681702
1e7	run29	299.682062895	19.8862956274	9.66237829098	533.058960845
