NHC-MTK with tau_T = 100 fs and tau_P = 1000 fs

P_ext [Pa]	run_id	<a> [A]	sigma_a [A]	<b> [A]	sigma_b [A]	<c> [A]	sigma_c [A]	<alpha> [deg]	sigma_alpha [deg]	<beta> [deg]	sigma_beta [deg]	<gamma> [deg]	sigma_gamma [deg]	volume [A^3]	 sigma_volume [A^3]
1e6	run1	17.0397314894	0.705677627635	6.59791915066	0.076110221293	12.6465750416	1.04550252863	90.003641527	0.949483560678	89.9821302434	0.376809402477	89.854530112	1.53384835994	1416.47530071	67.8448801077
1e6	run2	17.1014016969	0.833540049854	6.59590956508	0.0741400041159	12.4847787283	1.19492346977	89.9901801635	1.0247438817	90.028070769	0.375221092144	89.8484825113	1.47858117108	1401.17796444	71.2933845307
1e6	run3	18.0085655888	0.998451303886	6.5693942794	0.0864742647378	10.6970629457	2.31889854697	90.081680986	2.82789999808	90.0071951359	1.03119356659	88.2715390811	2.43515208956	1248.92917085	223.319157007
1e6	run4	16.8371481282	0.440964241537	6.60446845726	0.0694258873519	13.0188002836	0.631344227328	90.0756410511	1.15141096642	89.9901384659	0.498629867807	89.5593004858	1.42306390419	1445.1422057	41.3508006206
1e6	run5	17.1126890564	0.323286743664	6.59063418586	0.071407811494	12.6044584007	0.442198093724	89.9102744792	2.0091155981	90.0212691593	0.315892034957	90.3985887456	0.82346647732	1419.64296134	31.9846604047
1e6	run6	17.0454809576	0.549081441878	6.60199334847	0.0730860717113	12.6573092735	0.797760624168	90.0623964175	1.2639147775	89.9789760802	0.390785009294	89.9973525214	0.912554079561	1421.01511126	50.8207045283
1e6	run7	18.0402559385	1.37430589043	6.57272969046	0.0941552139046	10.3250176467	2.95330839108	89.8812782905	1.87516718301	89.8896097924	0.719496798119	92.528906913	2.70686596622	1197.4629295	270.250867081
1e6	run8	16.9288363584	0.507915038792	6.60507987325	0.0869558557977	12.8805528466	0.744688374644	89.9123039531	1.17161243279	89.9848798229	0.297256374598	90.3478435433	0.691468679061	1437.46329041	51.0735222077
1e6	run9	16.7440467693	0.31149190528	6.6091954761	0.0710364228174	13.1560185341	0.404619404788	90.0209865406	0.704084182684	90.0162116642	0.376936359974	89.9674759671	1.16460652052	1454.68103799	26.973495223
1e6	run10	17.5017776133	1.13091667051	6.58607977647	0.082719493643	11.6267692889	2.30543664858	89.8536960052	1.02873935915	89.991728522	0.518354640341	91.1731257324	2.80225021739	1322.7272156	205.575933432
1e8	run1	19.4865357678	0.0945162853513	6.51684662257	0.0435587707474	6.38202842629	0.140807513857	90.0072484665	2.73456600301	90.0025932828	1.32274383056	96.4060394745	0.901111043882	804.06614912	17.4651921514
1e8	run2	19.4867683505	0.0962100875985	6.51694047981	0.0437567535764	6.38722971859	0.154110889444	89.9877884859	2.97683079145	89.9973182133	1.33661770461	96.397947889	0.905980671398	804.545043026	18.3894239791
1e8	run3	19.4873321886	0.0934845920849	6.51671622724	0.0430152864335	6.38137671708	0.143810144356	89.9831253048	2.91555308146	89.9949614881	1.33405998714	96.4077753386	0.881538161679	803.852476627	17.4302890276
1e8	run4	19.4895230642	0.0954193825192	6.51683532708	0.0429712499289	6.386878574	0.158402626079	90.0165147284	3.05053113851	90.0064903004	1.33745547864	96.4200112602	0.955938039502	804.505950699	19.367949205
1e8	run5	19.4873564616	0.0957594177598	6.5167586268	0.043354638011	6.38604250262	0.152914099397	89.9995324622	2.94380249465	89.9971617174	1.32428523416	96.4215607151	0.928328467419	804.395525747	18.6890984528
1e8	run6	19.4844898281	0.0962980664291	6.51690311385	0.0420998948313	6.38252492605	0.14566695487	89.9741700027	2.57950970228	89.9936976031	1.28737771928	96.390577111	0.924119336455	804.194811561	18.2175557446
1e8	run7	19.4889604424	0.0932546640488	6.51643616499	0.0438746450663	6.38379489953	0.145133848998	90.0403426725	2.6714088569	90.0052576877	1.23199868998	96.422030904	0.893179735769	804.381073234	17.8071007934
1e8	run8	19.4908634802	0.0950826766326	6.51605052853	0.043495086916	6.38457508039	0.149758338124	90.0096034719	2.8041050639	89.994089714	1.24253118178	83.562451175	0.904711090215	804.377409634	18.1897143632
1e8	run9	19.4890299838	0.0952089592865	6.51706776076	0.0430802735016	6.3839842033	0.156344970263	89.9848787325	2.90022394601	90.0027645808	1.31891691831	83.5990715768	0.942595383095	804.307452034	19.0590499036
1e8	run10	19.4879870028	0.0971500276936	6.51703879827	0.0431181066152	6.38519795323	0.158860437885	89.9916664856	2.87310875602	89.9964305171	1.29885975002	96.4033292713	0.964821146734	804.429755082	19.3450357611
