Langevin with tau_T = 100 fs and tau_P = 1000 fs

P_ext [Pa]	run_id	<T> [K]	sigma_T [K]	<P> [MPa]	sigma_P [MPa]
1e6	run1	300.11852957	20.0200719371	1.06569475241	553.296728408
1e6	run2	300.107841259	20.0149486894	0.943826851783	544.028769789
1e6	run3	300.033612415	20.0226874058	0.970733548693	541.568734876
1e6	run4	299.90048716	19.9507339872	0.91877680425	547.812475042
1e6	run5	299.859825442	20.0354253755	1.03189965005	536.369755196
1e6	run6	300.018636811	20.0850934685	0.911909045949	549.267998599
1e6	run7	300.023443195	20.1554802352	1.07620101302	553.179933042
1e6	run8	299.909803655	19.9444860717	1.2194134897	553.591948962
1e6	run9	299.95803524	19.9771902826	0.92857629058	549.809716896
1e6	run10	299.930810889	19.9786743852	1.00185810813	547.297323604
1e6	run11	300.174422588	20.0845937822	0.918541001748	539.513540989
1e6	run12	299.935596799	19.9424235005	1.15827919244	538.154488587
1e6	run13	300.230563434	20.0685282062	0.932429950271	529.393472136
1e6	run14	300.14564689	20.0667178992	0.968718572466	526.654117862
1e6	run15	299.949093399	20.0051895975	1.03333327839	550.250854902
1e6	run16	300.246589569	20.0062051931	0.812145332563	537.46336057
1e6	run17	300.062932109	20.0604367033	0.85334100564	527.962390042
1e6	run18	300.251254647	20.3025723783	0.863130016577	557.843245122
1e6	run19	300.039405108	19.9346956253	0.959332080446	550.903534755
1e6	run20	300.018642692	19.957145891	1.06113367977	535.102954348
1e6	run21	300.049199627	20.169086401	0.919835333626	531.767237814
1e6	run22	300.009627831	19.9520712515	0.909877340173	533.013818159
1e6	run23	299.90487484	19.9312145026	1.10780357987	570.301700701
1e6	run24	300.033419383	20.0825890259	0.996699714062	531.106072146
1e6	run25	300.036212041	19.9126240511	0.96835353409	541.253402859
3e6	run1	299.83481031	19.9157290917	3.15411104438	568.309314248
3e6	run2	300.035799041	20.0319506165	2.83470166847	538.995971146
3e6	run3	300.093450266	20.1494406549	2.95520148052	528.633540012
3e6	run4	299.992283037	20.0210379337	3.14248093846	568.57823902
3e6	run5	299.873940241	19.9530209968	3.13344973917	553.633755475
3e6	run6	299.952471825	19.9625869875	2.9997391023	548.698457966
3e6	run7	300.088925019	20.0466075777	2.99836460861	546.542164939
3e6	run8	299.900010213	19.9769960299	3.08673965044	538.44074205
3e6	run9	300.091556145	20.0868767583	2.85397020657	532.504108033
3e6	run10	299.948291683	19.9784722407	3.02386091378	552.679552496
3e6	run11	300.070532473	19.9139552085	2.87694042435	567.070975002
3e6	run12	300.141390039	20.0541409537	2.92512076865	540.01026643
3e6	run13	300.188402739	20.126938509	2.82927292431	552.539557924
3e6	run14	300.073541891	20.0418896712	2.75949791228	541.197895749
3e6	run15	299.94175872	19.9125104392	2.78683451168	544.839481285
3e6	run16	300.141917492	20.1569299345	2.83493772273	553.212632367
3e6	run17	300.078403976	20.0352230101	3.00907009827	544.381349472
3e6	run18	300.032488298	20.1272247374	2.92465538422	553.528613161
3e6	run19	300.121681951	20.0774426597	2.86021703333	545.346349058
3e6	run20	300.045155292	20.044385477	3.02011180396	568.0376825
3e6	run21	300.215968434	19.9960771978	2.84902543207	536.308452036
3e6	run22	300.097926867	20.130707661	3.07484656424	556.798314328
3e6	run23	300.014014963	20.0559335506	3.03045685676	544.778812492
3e6	run24	299.792311234	19.9465041972	3.22281886005	581.677072069
3e6	run25	300.005583071	20.0516617363	2.92996785384	552.759144813
1e7	run1	300.121462442	20.0329173934	9.99602271004	558.960558814
1e7	run2	299.99487047	20.075737324	9.91457534283	547.813992974
1e7	run3	300.238585169	20.0062898135	9.88654689341	542.770792408
1e7	run4	300.074263378	20.5841507658	9.90697206383	555.146755523
1e7	run5	300.161142459	20.0646759961	9.83691121035	530.105397901
1e7	run6	299.83777152	19.9473865498	10.1345883222	532.162426415
1e7	run7	299.941258189	19.8772267508	10.0176295356	546.585922173
1e7	run8	300.144175053	20.1994045492	9.94365392666	537.322006466
1e7	run9	300.191767206	20.0642301804	9.89191377906	562.190733592
1e7	run10	300.205881985	19.9459436121	10.0343143158	566.574284558
1e7	run11	300.10349932	19.9816805117	10.0011190683	543.673258336
1e7	run12	300.194260811	20.2905810914	9.8526958824	535.142783913
1e7	run13	299.765893874	20.0869845314	10.2457940068	567.728296683
1e7	run14	300.071203865	20.0642869032	10.1292256113	564.727010109
1e7	run15	300.214670078	19.9579643041	9.85949259657	528.748868349
1e7	run16	300.059528938	19.9181379209	9.88012876297	545.70285579
1e7	run17	300.059631957	20.0416685294	9.86504897274	561.592938544
1e7	run18	300.029572449	19.9677368771	10.0572445319	555.889706365
1e7	run19	299.997126722	20.0569301183	10.1022232782	566.538132474
1e7	run20	299.985313599	20.0071362111	9.86907861657	519.212956803
1e7	run21	300.158366566	19.9950732975	10.1120565825	535.823851585
1e7	run22	300.058235848	20.2318797804	9.89490157713	560.287054399
1e7	run23	300.088225944	20.1011803731	10.2920426768	551.916869588
1e7	run24	300.130300036	20.0101334898	10.1331608102	545.205630972
1e7	run25	300.083756842	20.0117917262	9.83493825057	540.26951218
3e7	run1	300.024265108	19.9374089608	29.9725947541	540.497001535
3e7	run2	299.97348979	19.9866581863	29.9128589381	528.362161557
3e7	run3	300.061853055	20.027841265	30.1225665887	573.182503336
3e7	run4	300.13353852	20.1642231672	29.9011012649	548.389198291
3e7	run5	299.945684372	19.9330634767	29.9995010654	555.339462989
3e7	run6	300.018175061	20.0618638956	29.8967664162	535.628216424
3e7	run7	299.994294515	19.9893739332	30.1046811006	552.001844381
3e7	run8	300.052595758	20.0442300147	30.0020523755	535.130731896
3e7	run9	300.184503561	20.0942702767	29.6352950617	532.175345599
3e7	run10	299.942500446	19.9546230157	29.7792143929	536.051547228
3e7	run11	300.06993784	20.0290309995	30.0619797325	554.338685135
3e7	run12	300.177009569	19.9940484525	29.7999942152	531.147554743
3e7	run13	299.982125446	20.059729354	30.103233676	567.184576765
3e7	run14	299.968122247	19.9783925029	30.1609460074	561.102184274
3e7	run15	299.919282258	19.9159607212	30.1889595176	594.257467544
3e7	run16	299.925686326	19.8506509797	30.0573965586	547.860331126
3e7	run17	300.006899008	19.9656274859	29.9144396388	528.331233654
3e7	run18	299.879182388	20.0427888531	30.0933855765	551.458818281
3e7	run19	300.150690391	20.0349855359	29.9070392722	551.260280656
3e7	run20	300.183500591	20.0669461593	29.9196055333	554.008666322
3e7	run21	300.091551005	19.9672946717	29.8092676902	544.047189744
3e7	run22	300.013137284	20.0004466665	30.1674047021	557.746553399
