C11 [GPa]:		18.4855110123
C12 [GPa]:		0.808289165724
C13 [GPa]:		11.4408651672
C14 [GPa]:		0.00456532773871
C15 [GPa]:		-0.262215184311
C16 [GPa]:		-0.454965960037
C22 [GPa]:		30.9063453488
C23 [GPa]:		-1.10867560343
C24 [GPa]:		-0.00148073785138
C25 [GPa]:		-0.000284408187063
C26 [GPa]:		-0.860106193553
C33 [GPa]:		5.42816568322
C34 [GPa]:		0.00254684097299
C35 [GPa]:		-0.172093586896
C36 [GPa]:		-0.542353470504
C44 [GPa]:		3.18908678188
C45 [GPa]:		-0.621700544683
C46 [GPa]:		0.000868022455076
C55 [GPa]:		28.4257423693
C56 [GPa]:		0.00462764837401
C66 [GPa]:		2.09811540901
--------------------------------------
Residual (lstsq) = [  1.66815422e-07]
Rank A = 21
Singuliere waarden A = [ 0.03286335  0.03286335  0.03286335  0.03286335  0.03286335  0.03286335
  0.03286335  0.03286335  0.03286335  0.03286335  0.03286335  0.03286335
  0.03286335  0.03286335  0.03286335  0.0232379   0.0232379   0.0232379
  0.0232379   0.0232379   0.0232379 ]
Strain 0 opt runs: 3625
Strain 1 opt runs: 20000
Strain 2 opt runs: 20000
Strain 3 opt runs: 4385
Strain 4 opt runs: 20000
Strain 5 opt runs: 10668
Strain 6 opt runs: 20000
Strain 7 opt runs: 3573
Strain 8 opt runs: 5451
Strain 9 opt runs: 20000
Strain 10 opt runs: 2957
Strain 11 opt runs: 5198
Strain 12 opt runs: 326
Strain 13 opt runs: 20000
Strain 14 opt runs: 161
Strain 15 opt runs: 3590
Strain 16 opt runs: 4534
Strain 17 opt runs: 3161
Strain 18 opt runs: 1806
Strain 19 opt runs: 2953
Strain 20 opt runs: 2533
Strain 21 opt runs: 20000
Strain 22 opt runs: 3193
Strain 23 opt runs: 2728
Strain 24 opt runs: 336
Strain 25 opt runs: 20000
Strain 26 opt runs: 245
Strain 27 opt runs: 20000
Strain 28 opt runs: 4287
Strain 29 opt runs: 2836
Strain 30 opt runs: 2693
Strain 31 opt runs: 20000
Strain 32 opt runs: 3119
Strain 33 opt runs: 5571
Strain 34 opt runs: 3746
Strain 35 opt runs: 2543
Strain 36 opt runs: 336
Strain 37 opt runs: 20000
Strain 38 opt runs: 20000
Strain 39 opt runs: 3737
Strain 40 opt runs: 8225
Strain 41 opt runs: 2809
Strain 42 opt runs: 1788
Strain 43 opt runs: 1954
Strain 44 opt runs: 20000
Strain 45 opt runs: 4589
Strain 46 opt runs: 6288
Strain 47 opt runs: 2590
