C11 [GPa]:		14.6594015599
C12 [GPa]:		6.76246291468
C13 [GPa]:		6.8859916345
C14 [GPa]:		0.00241156559964
C15 [GPa]:		-0.0114802719715
C16 [GPa]:		-0.104556055565
C22 [GPa]:		14.6832279445
C23 [GPa]:		6.88886763359
C24 [GPa]:		-0.0188902399492
C25 [GPa]:		-0.0156587209916
C26 [GPa]:		-0.119839000365
C33 [GPa]:		14.8076096981
C34 [GPa]:		-0.021695054287
C35 [GPa]:		-0.0097204088303
C36 [GPa]:		0.00181932064736
C44 [GPa]:		6.3719863327
C45 [GPa]:		0.00115681409325
C46 [GPa]:		-0.00472861209991
C55 [GPa]:		6.3535558049
C56 [GPa]:		0.00365378820321
C66 [GPa]:		6.3236192622
--------------------------------------
Residual (lstsq) = [  1.41085440e-11]
Rank A = 21
Singuliere waarden A = [ 0.03286335  0.03286335  0.03286335  0.03286335  0.03286335  0.03286335
  0.03286335  0.03286335  0.03286335  0.03286335  0.03286335  0.03286335
  0.03286335  0.03286335  0.03286335  0.0232379   0.0232379   0.0232379
  0.0232379   0.0232379   0.0232379 ]
Strain 0 opt runs: 789
Strain 1 opt runs: 798
Strain 2 opt runs: 799
Strain 3 opt runs: 826
Strain 4 opt runs: 816
Strain 5 opt runs: 818
Strain 6 opt runs: 898
Strain 7 opt runs: 893
Strain 8 opt runs: 893
Strain 9 opt runs: 860
Strain 10 opt runs: 834
Strain 11 opt runs: 853
Strain 12 opt runs: 800
Strain 13 opt runs: 5000
Strain 14 opt runs: 793
Strain 15 opt runs: 855
Strain 16 opt runs: 859
Strain 17 opt runs: 832
Strain 18 opt runs: 1051
Strain 19 opt runs: 1162
Strain 20 opt runs: 1026
Strain 21 opt runs: 889
Strain 22 opt runs: 860
Strain 23 opt runs: 864
Strain 24 opt runs: 789
Strain 25 opt runs: 786
Strain 26 opt runs: 769
Strain 27 opt runs: 845
Strain 28 opt runs: 991
Strain 29 opt runs: 877
Strain 30 opt runs: 1335
Strain 31 opt runs: 1350
Strain 32 opt runs: 1345
Strain 33 opt runs: 5000
Strain 34 opt runs: 897
Strain 35 opt runs: 895
Strain 36 opt runs: 766
Strain 37 opt runs: 763
Strain 38 opt runs: 767
Strain 39 opt runs: 5000
Strain 40 opt runs: 1023
Strain 41 opt runs: 898
Strain 42 opt runs: 2751
Strain 43 opt runs: 2729
Strain 44 opt runs: 2597
Strain 45 opt runs: 1025
Strain 46 opt runs: 5000
Strain 47 opt runs: 937
