C11 [GPa]:		21.8839156063
C12 [GPa]:		10.251252254
C13 [GPa]:		10.4036818907
C14 [GPa]:		0.00479559546138
C15 [GPa]:		0.000795994814924
C16 [GPa]:		-0.00281867883866
C22 [GPa]:		22.0682715041
C23 [GPa]:		10.1599762044
C24 [GPa]:		0.00390898899928
C25 [GPa]:		-0.0178670510302
C26 [GPa]:		0.00414999638858
C33 [GPa]:		21.8393735046
C34 [GPa]:		0.00444855958996
C35 [GPa]:		0.00965197196503
C36 [GPa]:		-0.00332752418163
C44 [GPa]:		9.39982999643
C45 [GPa]:		-0.000453140131718
C46 [GPa]:		-0.000843091271967
C55 [GPa]:		9.39503723295
C56 [GPa]:		-0.000650837441282
C66 [GPa]:		9.39558778574
--------------------------------------
Residual (lstsq) = [  2.53033645e-11]
Rank A = 21
Singuliere waarden A = [ 0.03286335  0.03286335  0.03286335  0.03286335  0.03286335  0.03286335
  0.03286335  0.03286335  0.03286335  0.03286335  0.03286335  0.03286335
  0.03286335  0.03286335  0.03286335  0.0232379   0.0232379   0.0232379
  0.0232379   0.0232379   0.0232379 ]
Strain 0 opt runs: 5000
Strain 1 opt runs: 5000
Strain 2 opt runs: 5000
Strain 3 opt runs: 5000
Strain 4 opt runs: 5000
Strain 5 opt runs: 5000
Strain 6 opt runs: 5000
Strain 7 opt runs: 5000
Strain 8 opt runs: 5000
Strain 9 opt runs: 5000
Strain 10 opt runs: 5000
Strain 11 opt runs: 5000
Strain 12 opt runs: 5000
Strain 13 opt runs: 5000
Strain 14 opt runs: 5000
Strain 15 opt runs: 5000
Strain 16 opt runs: 5000
Strain 17 opt runs: 5000
Strain 18 opt runs: 5000
Strain 19 opt runs: 5000
Strain 20 opt runs: 5000
Strain 21 opt runs: 5000
Strain 22 opt runs: 5000
Strain 23 opt runs: 5000
Strain 24 opt runs: 5000
Strain 25 opt runs: 5000
Strain 26 opt runs: 5000
Strain 27 opt runs: 5000
Strain 28 opt runs: 5000
Strain 29 opt runs: 5000
Strain 30 opt runs: 5000
Strain 31 opt runs: 5000
Strain 32 opt runs: 5000
Strain 33 opt runs: 5000
Strain 34 opt runs: 5000
Strain 35 opt runs: 5000
Strain 36 opt runs: 5000
Strain 37 opt runs: 5000
Strain 38 opt runs: 5000
Strain 39 opt runs: 5000
Strain 40 opt runs: 5000
Strain 41 opt runs: 5000
Strain 42 opt runs: 5000
Strain 43 opt runs: 5000
Strain 44 opt runs: 5000
Strain 45 opt runs: 5000
Strain 46 opt runs: 5000
Strain 47 opt runs: 5000
