#unit_cell_volume,density,AV_A3,AV_volumefraction,AV_cm3g
48001.1,1.75016,2602.62,0.05422,0.03098
48201.1,1.7429,2666.48,0.05532,0.0317401
48401.2,1.7357,2731.76,0.05644,0.0325172
48601.1,1.72856,2812.06,0.05786,0.033473
48801,1.72148,2884.14,0.0591,0.034331
49001.1,1.71445,2964.57,0.0605,0.0352883
49201.1,1.70748,3047.51,0.06194,0.0362757
49401.1,1.70057,3118.2,0.06312,0.037117
49601.1,1.69371,3201.25,0.06454,0.0381057
49801,1.68691,3565.75,0.0716,0.0424444
50001.2,1.68016,3406.08,0.06812,0.0405438
50201,1.67347,3523.11,0.07018,0.0419368
50401.1,1.66683,3622.83,0.07188,0.0431238
50601,1.66024,3725.24,0.07362,0.0443429
50801.1,1.6537,3829.38,0.07538,0.0455825
51001.1,1.64722,3910.77,0.07668,0.0465513
51201.1,1.64078,3997.78,0.07808,0.047587
51401.1,1.6344,4099.75,0.07976,0.0488008
51601,1.62807,4183.81,0.08108,0.0498014
51801.1,1.62178,4297.42,0.08296,0.0511537
52001.2,1.61554,4429.46,0.08518,0.0527255
52201.3,1.60935,4524.81,0.08668,0.0538604
52401.3,1.6032,4641.7,0.08858,0.0552519
52601.2,1.59711,4766.72,0.09062,0.05674
52801.1,1.59106,4891.5,0.09264,0.0582253
53001.1,1.58506,4988.47,0.09412,0.0593795
53201.1,1.5791,5134.97,0.09652,0.0611235
53401.2,1.57318,5217.3,0.0977,0.0621034
53601.2,1.56731,5303.3,0.09894,0.0631272
53801.2,1.56149,5400.56,0.10038,0.0642849
54001.2,1.5557,5529.72,0.1024,0.0658223
54201.2,1.54996,5591.4,0.10316,0.0665565
54401.3,1.54426,5697.99,0.10474,0.0678252
54601.4,1.5386,5787.75,0.106,0.0688936
54807.1,1.53283,5749.27,0.1049,0.0684356
55001.3,1.52742,5720.13,0.104,0.0680888
55201.2,1.52189,5829.24,0.1056,0.0693876
55401.4,1.51639,6063.13,0.10944,0.0721716
55601.2,1.51094,6242.91,0.11228,0.0743116
55801.2,1.50552,6382.54,0.11438,0.0759737
56001.3,1.50014,6528.63,0.11658,0.0777126
56201.1,1.49481,6708.16,0.11936,0.0798497
56401.1,1.48951,6895.6,0.12226,0.0820808
56601.1,1.48424,7041.18,0.1244,0.0838137
56801.1,1.47902,7177.39,0.12636,0.0854351
57001.2,1.47383,7324.65,0.1285,0.087188
57201.1,1.46868,7537.96,0.13178,0.0897271
57401.1,1.46356,7653.87,0.13334,0.0911068
57601.2,1.45847,7808.42,0.13556,0.0929465
57801.2,1.45343,7992.75,0.13828,0.0951406
58001.1,1.44842,8168.88,0.14084,0.0972371
58201.1,1.44344,8219.17,0.14122,0.0978357
58401.1,1.4385,8541.75,0.14626,0.101675
58601.1,1.43359,8567.48,0.1462,0.101982
58801.1,1.42871,8735.49,0.14856,0.103982
59001.1,1.42387,9018.9,0.15286,0.107355
59201.1,1.41906,9146.56,0.1545,0.108875
59401.1,1.41428,9373.49,0.1578,0.111576
59601.1,1.40954,9600.55,0.16108,0.114279
59801.1,1.40482,9757.14,0.16316,0.116143
60001,1.40014,9871.37,0.16452,0.117502
60201,1.39549,9994.57,0.16602,0.118969
60401,1.39087,10109.9,0.16738,0.120342
60600.9,1.38628,10200.3,0.16832,0.121418
60800.9,1.38172,10332.5,0.16994,0.122992
61000.9,1.37719,10456.8,0.17142,0.124471
