# path_timeseries_file	CV0	kappa
../results/colvar_m110	-11.0	25
../results/colvar_m105	-10.5	25
../results/colvar_m100	-10.0	25
../results/colvar_m95	-9.5	25
../results/colvar_m90	-9.0	25
../results/colvar_m85	-8.5	25
../results/colvar_m80	-8.0	25
../results/colvar_m75	-7.5	25
../results/colvar_m70	-7.0	25
../results/colvar_m65	-6.5	25
../results/colvar_m60	-6.0	25
../results/colvar_m55	-5.5	25
../results/colvar_m50	-5.0	25
../results/colvar_m45	-4.5	25
../results/colvar_m40	-4.0	25
../results/colvar_m35	-3.5	25
../results/colvar_m30	-3.0	25
../results/colvar_m25	-2.5	25
../results/colvar_m20	-2.0	25
../results/colvar_m15	-1.5	25
../results/colvar_m10	-1.0	25
../results/colvar_m5	-0.5	25
../results/colvar_0	0.0	25
../results/colvar_5	0.5	25
../results/colvar_10	1.0	25
../results/colvar_15	1.5	25
../results/colvar_20	2.0	25
../results/colvar_25	2.5	25
../results/colvar_30	3.0	25
../results/colvar_35	3.5	25
../results/colvar_40	4.0	25
../results/colvar_45	4.5	25
../results/colvar_50	5.0	25
../results/colvar_55	5.5	25
../results/colvar_60	6.0	25
../results/colvar_65	6.5	25
../results/colvar_70	7.0	25
../results/colvar_75	7.5	25
../results/colvar_80	8.0	25
../results/colvar_85	8.5	25
../results/colvar_90	9.0	25
../results/colvar_95	9.5	25
../results/colvar_100	10.0	25
../results/colvar_105	10.5	25
../results/colvar_110	11.0	25
../results/colvar_m30_50	-3.0	50
../results/colvar_m25_50	-2.5	50
../results/colvar_m20_50	-2.0	50
../results/colvar_m15_50	-1.5	50
../results/colvar_m10_50	-1.0	50
../results/colvar_m5_50	-0.5	50
../results/colvar_0_50	0.0	50
../results/colvar_5_50	0.5	50
../results/colvar_10_50	1.0	50
../results/colvar_15_50	1.5	50
../results/colvar_20_50	2.0	50
../results/colvar_25_50	2.5	50
../results/colvar_30_50	3.0	50
../results/colvar_m30_75	-3.0	75
../results/colvar_m25_75	-2.5	75
../results/colvar_m20_75	-2.0	75
../results/colvar_m15_75	-1.5	75
../results/colvar_m10_75	-1.0	75
../results/colvar_m5_75	-0.5	75
../results/colvar_0_75	0.0	75
../results/colvar_5_75	0.5	75
../results/colvar_10_75	1.0	75
../results/colvar_15_75	1.5	75
../results/colvar_20_75	2.0	75
../results/colvar_25_75	2.5	75
../results/colvar_30_75	3.0	75
../results/colvar_m30_100	-3.0	100
../results/colvar_m25_100	-2.5	100
../results/colvar_m20_100	-2.0	100
../results/colvar_m15_100	-1.5	100
../results/colvar_m10_100	-1.0	100
../results/colvar_m5_100	-0.5	100
../results/colvar_0_100	0.0	100
../results/colvar_5_100	0.5	100
../results/colvar_10_100	1.0	100
../results/colvar_15_100	1.5	100
../results/colvar_20_100	2.0	100
../results/colvar_25_100	2.5	100
../results/colvar_30_100	3.0	100
../results/colvar_m30_150	-3.0	150
../results/colvar_m25_150	-2.5	150
../results/colvar_m20_150	-2.0	150
../results/colvar_m15_150	-1.5	150
../results/colvar_m10_150	-1.0	150
../results/colvar_m5_150	-0.5	150
../results/colvar_0_150	0.0	150
../results/colvar_5_150	0.5	150
../results/colvar_10_150	1.0	150
../results/colvar_15_150	1.5	150
../results/colvar_20_150	2.0	150
../results/colvar_25_150	2.5	150
../results/colvar_30_150	3.0	150
../results/colvar_m30_200	-3.0	200
../results/colvar_m25_200	-2.5	200
../results/colvar_m20_200	-2.0	200
../results/colvar_m15_200	-1.5	200
../results/colvar_m10_200	-1.0	200
../results/colvar_m5_200	-0.5	200
../results/colvar_0_200	0.0	200
../results/colvar_5_200	0.5	200
../results/colvar_10_200	1.0	200
../results/colvar_15_200	1.5	200
../results/colvar_20_200	2.0	200
../results/colvar_25_200	2.5	200
../results/colvar_30_200	3.0	200
../results/colvar_m30_300	-3.0	300
../results/colvar_m25_300	-2.5	300
../results/colvar_m20_300	-2.0	300
../results/colvar_m15_300	-1.5	300
../results/colvar_m10_300	-1.0	300
../results/colvar_m5_300	-0.5	300
../results/colvar_0_300	0.0	300
../results/colvar_5_300	0.5	300
../results/colvar_10_300	1.0	300
../results/colvar_15_300	1.5	300
../results/colvar_20_300	2.0	300
../results/colvar_25_300	2.5	300
../results/colvar_30_300	3.0	300
