#unit_cell_volume,density,AV_A3,AV_volumefraction,AV_cm3g
48001.5,1.70417,4243.33,0.0884,0.0518726
48201.5,1.6971,4340.06,0.09004,0.0530551
48401.4,1.69009,4425.83,0.09144,0.0541035
48601.4,1.68314,4511.18,0.09282,0.055147
48801.4,1.67624,4603.92,0.09434,0.0562806
49001.3,1.6694,4683.54,0.09558,0.057254
49201.3,1.66262,4757.77,0.0967,0.0581613
49401.3,1.65589,4871.95,0.09862,0.0595572
49601.2,1.64921,4975,0.1003,0.0608169
49801.3,1.64259,5070.76,0.10182,0.0619876
50001.3,1.63602,5149.13,0.10298,0.0629456
50201.3,1.6295,5216.91,0.10392,0.0637742
50401.5,1.62303,5305.26,0.10526,0.0648541
50601.5,1.61661,5389.06,0.1065,0.0658785
50801.5,1.61025,5474.37,0.10776,0.0669214
51001.4,1.60394,5569.35,0.1092,0.0680826
51201.4,1.59767,5680.29,0.11094,0.0694387
51401.3,1.59146,5778.53,0.11242,0.0706397
51601.4,1.58529,5881.52,0.11398,0.0718987
51801.3,1.57917,5983.05,0.1155,0.0731398
52001.3,1.57309,6097.67,0.11726,0.074541
52201.3,1.56707,6199.43,0.11876,0.0757849
52401.3,1.56108,6303.88,0.1203,0.0770618
52601.3,1.55515,6360.55,0.12092,0.0777546
52801.3,1.54926,6456.55,0.12228,0.0789281
53001.4,1.54341,6646.38,0.1254,0.0812487
53201.4,1.53761,6644.85,0.1249,0.08123
53402.1,1.53183,6750.02,0.1264,0.0825157
53601.7,1.52613,6926.41,0.12922,0.0846719
53801.9,1.52045,7383.77,0.13724,0.0902629
54002.3,1.5148,7112.11,0.1317,0.086942
54208.6,1.50904,7309.48,0.13484,0.0893548
54401.7,1.50368,7259.37,0.13344,0.0887421
54601.7,1.49818,7877.93,0.14428,0.0963038
54803.1,1.49267,7956.31,0.14518,0.097262
55006.6,1.48715,7985.86,0.14518,0.0976231
55201.4,1.4819,7729.3,0.14002,0.0944869
55401.4,1.47655,7905.79,0.1427,0.0966443
55601.4,1.47124,8026.62,0.14436,0.0981215
55801.5,1.46596,8118,0.14548,0.0992384
