#unit_cell_volume,density,AV_A3,AV_volumefraction,AV_cm3g
48001.3,1.70418,3954.34,0.08238,0.0483399
48201.2,1.69711,4055.65,0.08414,0.0495783
48401.2,1.6901,4124.75,0.08522,0.050423
48601.2,1.68314,4239,0.08722,0.0518197
48801.3,1.67625,4347.22,0.08908,0.0531426
49001.2,1.66941,4461.07,0.09104,0.0545343
49201.1,1.66262,4564.88,0.09278,0.0558033
49401.1,1.65589,4695.09,0.09504,0.0573951
49601.1,1.64922,4804.36,0.09686,0.0587309
49801,1.6426,4938.27,0.09916,0.0603679
50001.1,1.63602,5050.11,0.101,0.0617351
50201.1,1.62951,5181.75,0.10322,0.0633444
50401,1.62304,5315.29,0.10546,0.0649768
50601,1.61663,5425.44,0.10722,0.0663233
50801,1.61026,5569.82,0.10964,0.0680883
51001,1.60395,5680.49,0.11138,0.0694412
51201,1.59768,5805.17,0.11338,0.0709653
51401,1.59147,5986.16,0.11646,0.0731778
51601,1.5853,6035.25,0.11696,0.0737779
51800.9,1.57918,6170.53,0.11912,0.0754316
52001,1.5731,6327.48,0.12168,0.0773502
52200.9,1.56708,6440.55,0.12338,0.0787325
52400.9,1.5611,6533.35,0.12468,0.0798669
52600.9,1.55516,6638.23,0.1262,0.0811491
52801,1.54927,6770.14,0.12822,0.0827616
53000.9,1.54343,6868.92,0.1296,0.0839691
53200.9,1.53762,6967.19,0.13096,0.0851704
53400.9,1.53186,7058.53,0.13218,0.0862871
53600.9,1.52615,7184.66,0.13404,0.0878289
53800.9,1.52048,7290.02,0.1355,0.0891169
54000.9,1.51484,7365.72,0.1364,0.0900423
54200.9,1.50925,7538.27,0.13908,0.0921516
54400.9,1.5037,7647.68,0.14058,0.0934891
54600.9,1.4982,7735.86,0.14168,0.0945671
54800.9,1.49273,7839.82,0.14306,0.0958379
55001.7,1.48728,7945.55,0.14446,0.0971303
55201.5,1.4819,8048.37,0.1458,0.0983874
55401.3,1.47655,8108.53,0.14636,0.0991228
55601.2,1.47125,8187.83,0.14726,0.100092
55801.1,1.46597,8275.31,0.1483,0.101162
56001.1,1.46074,8354.24,0.14918,0.102126
56201,1.45554,8439.14,0.15016,0.103164
56401,1.45038,8515.42,0.15098,0.104097
56601,1.44526,8636.17,0.15258,0.105573
56800.9,1.44017,8721.22,0.15354,0.106613
57000.9,1.43512,8826.03,0.15484,0.107894
57201.2,1.43009,8917.67,0.1559,0.109014
57400.9,1.42512,8999.31,0.15678,0.110012
57601.3,1.42016,9164.37,0.1591,0.11203
57802.5,1.41522,9781.33,0.16922,0.119572
58001.9,1.41035,9979.8,0.17206,0.121998
58201.8,1.40551,10135.3,0.17414,0.123898
58401.6,1.4007,10269.3,0.17584,0.125537
58601.4,1.39592,10407.6,0.1776,0.127228
58801.3,1.39117,10525.4,0.179,0.128668
59001.3,1.38646,10673.3,0.1809,0.130476
59201.2,1.38178,10820.8,0.18278,0.132279
59401.1,1.37713,10950,0.18434,0.133858
59601.7,1.37249,10932.1,0.18342,0.13364
59801.1,1.36792,11243.8,0.18802,0.13745
60001.1,1.36336,11345,0.18908,0.138687
60201,1.35883,11461.1,0.19038,0.140106
60401.2,1.35433,11588.6,0.19186,0.141664
60602,1.34984,11478,0.1894,0.140313
60801.9,1.3454,11579.1,0.19044,0.141549
61001.9,1.34099,11697.7,0.19176,0.142999
61401.7,1.33226,11907,0.19392,0.145557
61601.5,1.32794,12046.8,0.19556,0.147266
61801.7,1.32363,12144,0.1965,0.148455
62001.4,1.31937,12265.1,0.19782,0.149935
62201.3,1.31513,12378.1,0.199,0.151316
62401.3,1.31092,12487.7,0.20012,0.152656
62601.3,1.30673,12605.4,0.20136,0.154095
62801.1,1.30257,12703.4,0.20228,0.155293
63001.1,1.29844,12827,0.2036,0.156804
63201.1,1.29433,12932.2,0.20462,0.15809
63401,1.29025,13047.9,0.2058,0.159504
63601,1.28619,13157.8,0.20688,0.160847
63801,1.28216,13266.8,0.20794,0.16218
64001,1.27815,13360.8,0.20876,0.16333
64201,1.27417,13400,0.20872,0.163809
64401,1.27021,13455.9,0.20894,0.164492
64601,1.26628,13576.6,0.21016,0.165967
64801,1.26237,13698.9,0.2114,0.167463
65001,1.25849,13756.8,0.21164,0.16817
65201.1,1.25462,13826.5,0.21206,0.169023
65401.2,1.25079,13900.4,0.21254,0.169925
65601.1,1.24697,14032.1,0.2139,0.171535
65801.1,1.24318,14236.7,0.21636,0.174037
66001.1,1.23942,14350,0.21742,0.175421
66201,1.23567,14496.7,0.21898,0.177215
66401,1.23195,14733.1,0.22188,0.180104
66601,1.22825,14947.9,0.22444,0.182731
66800.9,1.22458,15161.1,0.22696,0.185337
67001,1.22092,15376.7,0.2295,0.187973
67200.9,1.21729,15514,0.23086,0.189651
67400.9,1.21368,15662.6,0.23238,0.191468
67600.9,1.21009,15837.5,0.23428,0.193606
67801,1.20652,15979.3,0.23568,0.195339
68000.9,1.20297,16167.9,0.23776,0.197645
68200.9,1.19944,16327.3,0.2394,0.199593
68400.9,1.19593,16447.7,0.24046,0.201065
68601,1.19245,16622,0.2423,0.203196
68801,1.18898,16751.7,0.24348,0.204781
69001,1.18553,16895.6,0.24486,0.20654
69200.9,1.18211,17041.4,0.24626,0.208323
69400.9,1.1787,17201.7,0.24786,0.210282
69600.9,1.17531,17312.5,0.24874,0.211637
69800.9,1.17195,17447.4,0.24996,0.213286
70000.9,1.1686,17602.4,0.25146,0.215181
70200.9,1.16527,17744,0.25276,0.216911
70400.8,1.16196,17887.4,0.25408,0.218665
70600.9,1.15867,18028.6,0.25536,0.220391
70800.9,1.15539,18139.2,0.2562,0.221742
71000.8,1.15214,18274.2,0.25738,0.223393
71200.8,1.14891,18385.5,0.25822,0.224753
71401.2,1.14568,18555.7,0.25988,0.226835
71600.7,1.14249,18692.1,0.26106,0.228501
71800.8,1.1393,18798.9,0.26182,0.229807
72000.8,1.13614,18954.9,0.26326,0.231715
72200.8,1.13299,19094.2,0.26446,0.233417
72400.7,1.12986,19245.6,0.26582,0.235267
72600.7,1.12675,19368.4,0.26678,0.236769
72800.8,1.12365,19523.7,0.26818,0.238668
73000.7,1.12058,19628.4,0.26888,0.239948
73200.8,1.11751,19758.4,0.26992,0.241536
73400.8,1.11447,19893.1,0.27102,0.243183
73600.8,1.11144,20009.1,0.27186,0.244602
73800.7,1.10843,20153.5,0.27308,0.246367
74000.8,1.10543,20289.5,0.27418,0.248029
74200.8,1.10245,20424.5,0.27526,0.249679
74400.8,1.09949,20562.9,0.27638,0.251371
74600.7,1.09654,20668.9,0.27706,0.252667
74800.8,1.09361,20778.2,0.27778,0.254003
75000.8,1.09069,20907.2,0.27876,0.25558
75200.8,1.08779,21054.7,0.27998,0.257384
75400.7,1.08491,21184.6,0.28096,0.258971
75600.8,1.08204,21298.2,0.28172,0.26036
75800.7,1.07918,21413.7,0.2825,0.261772
76000.7,1.07634,21569,0.2838,0.26367
76200.7,1.07352,21682.1,0.28454,0.265053
76400.7,1.07071,21809.3,0.28546,0.266608
76600.8,1.06791,21943.1,0.28646,0.268243
76800.7,1.06513,22074.1,0.28742,0.269844
77000.7,1.06237,22217.8,0.28854,0.271601
77200.7,1.05961,22335.7,0.28932,0.273043
77400.8,1.05687,22474.1,0.29036,0.274735
77600.7,1.05415,22617.5,0.29146,0.276488
77800.8,1.05144,22753.6,0.29246,0.278152
78000.8,1.04874,22860.5,0.29308,0.279458
78200.6,1.04606,23006.6,0.2942,0.281245
