14,15,16,17,218,219
18,20,154,624,657,1513
19,1986,1993,1996,2120,2876
180,213,462,464,598,1069
181,1068,1101,1350,1352,1486
182,1987,1990,1991,1992,2565
210,217,220,344,1100,1795
211,214,215,216,789,1958
212,1098,1105,1108,1232,2683
345,655,658,659,660,2402
458,459,460,461,662,663
463,2430,2437,2440,2564,3320
625,906,908,1042,1512,1545
626,2121,2431,2434,2435,2436
654,661,664,788,1544,2239
656,1542,1549,1552,1676,3127
902,903,904,905,1106,1107
907,1988,2874,2881,2884,3008
1070,2875,2878,2879,2880,3453
1099,1102,1103,1104,1677,2846
1233,1543,1546,1547,1548,3290
1346,1347,1348,1349,1550,1551
1351,2432,3318,3325,3328,3452
1514,3009,3319,3322,3323,3324
1790,1791,1792,1793,1994,1995
1794,1796,1930,2400,2433,3289
1956,1989,2238,2240,2374,2845
1957,2844,2877,3126,3128,3262
2234,2235,2236,2237,2438,2439
2401,2682,2684,2818,3288,3321
2678,2679,2680,2681,2882,2883
3122,3123,3124,3125,3326,3327
