14,15,16,17,218,219
18,20,154,582,615,1387
19,1818,1825,1828,1970,2624
180,213,420,422,556,985
181,984,1017,1224,1226,1360
182,1819,1822,1823,1824,2373
210,217,220,362,1016,1627
211,214,215,216,765,1790
212,1014,1021,1024,1166,2431
363,613,616,617,618,2192
416,417,418,419,620,621
421,2220,2227,2230,2372,3026
583,822,824,958,1386,1419
584,1971,2221,2224,2225,2226
612,619,622,764,1418,2029
614,1416,1423,1426,1568,2833
818,819,820,821,1022,1023
823,1820,2622,2629,2632,2774
986,2623,2626,2627,2628,3177
1015,1018,1019,1020,1569,2594
1167,1417,1420,1421,1422,2996
1220,1221,1222,1223,1424,1425
1225,2222,3024,3031,3034,3176
1388,2775,3025,3028,3029,3030
1622,1623,1624,1625,1826,1827
1626,1628,1762,2190,2223,2995
1788,1821,2028,2030,2164,2593
1789,2592,2625,2832,2834,2968
2024,2025,2026,2027,2228,2229
2191,2430,2432,2566,2994,3027
2426,2427,2428,2429,2630,2631
2828,2829,2830,2831,3032,3033
