#unit_cell_volume,density,AV_A3,AV_volumefraction,AV_cm3g
48001.3,1.6582,5077.58,0.10578,0.0637919
48202.7,1.65128,5220.35,0.1083,0.0655856
48402.4,1.64446,5322.33,0.10996,0.0668669
48601.4,1.63773,5354.9,0.11018,0.067276
48802,1.631,5795.72,0.11876,0.0728143
49001.9,1.62434,5892.97,0.12026,0.074036
49201.7,1.61775,6011.47,0.12218,0.0755248
49401.7,1.6112,6142.61,0.12434,0.0771724
49601.7,1.6047,6283.55,0.12668,0.078943
49801.7,1.59826,6413.46,0.12878,0.0805751
50001.4,1.59187,6535.18,0.1307,0.0821045
50201.4,1.58553,6642.65,0.13232,0.0834546
50401.4,1.57924,6728.58,0.1335,0.0845342
50601.4,1.573,6840.29,0.13518,0.0859376
50801.3,1.56681,6942.5,0.13666,0.0872218
51001.3,1.56067,7065.72,0.13854,0.0887698
51201.2,1.55457,7159.97,0.13984,0.089954
51401.2,1.54852,7274.3,0.14152,0.0913903
51601.2,1.54252,7389.29,0.1432,0.092835
51801.2,1.53657,7482.17,0.14444,0.0940018
52001.2,1.53066,7574.49,0.14566,0.0951617
52201.2,1.52479,7682.97,0.14718,0.0965246
52403.4,1.51891,7795.54,0.14876,0.0979388
52603.4,1.51313,7927.33,0.1507,0.0995946
52801.4,1.50746,8036.37,0.1522,0.100964
53001.4,1.50177,8136.77,0.15352,0.102226
53201.3,1.49613,8244.08,0.15496,0.103574
53401.3,1.49052,8375.46,0.15684,0.105225
53603.2,1.48491,8525.06,0.15904,0.107104
53803.2,1.47939,8640.8,0.1606,0.108558
54003.2,1.47391,8771.2,0.16242,0.110197
54203.2,1.46847,8865.47,0.16356,0.111381
54403.1,1.46308,8951.49,0.16454,0.112462
54603,1.45772,9063.01,0.16598,0.113863
54803.1,1.4524,9153.21,0.16702,0.114996
55003.1,1.44712,9293.33,0.16896,0.116756
55203,1.44188,9407.7,0.17042,0.118193
55404.2,1.43664,9648.08,0.17414,0.121213
55603.8,1.43149,9729.55,0.17498,0.122237
55803.7,1.42636,9825.91,0.17608,0.123447
56003.5,1.42127,9932.78,0.17736,0.12479
57002.3,1.39636,10383.5,0.18216,0.130453
57203.4,1.39146,10468.2,0.183,0.131517
57602.6,1.38181,10968.7,0.19042,0.137804
57803,1.37702,11136.3,0.19266,0.139911
58002.6,1.37228,11247.9,0.19392,0.141312
58202.7,1.36757,11397.3,0.19582,0.143189
58402.7,1.36288,11569.6,0.1981,0.145354
58602.3,1.35824,11675.9,0.19924,0.14669
58802.2,1.35362,11836.9,0.2013,0.148712
59001.9,1.34904,11959.7,0.2027,0.150255
59202,1.34448,12092.6,0.20426,0.151925
59401.7,1.33996,12218.9,0.2057,0.153512
59601.8,1.33546,12357.8,0.20734,0.155257
59801.7,1.331,12504.5,0.2091,0.1571
60001.6,1.32657,12653.1,0.21088,0.158967
60201.6,1.32216,12808.5,0.21276,0.160919
60404,1.31773,12945.8,0.21432,0.162644
60601.5,1.31343,13070.5,0.21568,0.164211
60801.3,1.30912,13196.3,0.21704,0.165791
61001.4,1.30482,13291,0.21788,0.166981
61201.9,1.30055,13414.2,0.21918,0.168529
61402.7,1.2963,13554,0.22074,0.170285
