#unit_cell_volume,density,AV_A3,AV_volumefraction,AV_cm3g
48002.2,1.7961,1915.29,0.0399,0.0222148
48201.9,1.78866,2006.16,0.04162,0.0232688
48402.2,1.78126,2034.83,0.04204,0.0236013
48602.1,1.77393,2197.79,0.04522,0.0254914
48802.6,1.76664,2248.82,0.04608,0.0260833
49002.7,1.75943,2378.59,0.04854,0.0275885
49202.2,1.7523,2421.73,0.04922,0.0280889
49410.6,1.7449,2531.8,0.05124,0.0293655
49603.1,1.73813,2562.5,0.05166,0.0297216
49802.7,1.73117,2450.29,0.0492,0.0284201
50003.4,1.72422,2524.17,0.05048,0.029277
50280.6,1.71471,3035.94,0.06038,0.0352129
50488.8,1.70764,3154.54,0.06248,0.0365885
50711.7,1.70014,3383.48,0.06672,0.0392439
50804.4,1.69703,2946.66,0.058,0.0341773
51003.8,1.6904,2988.82,0.0586,0.0346664
51203.7,1.6838,3055.84,0.05968,0.0354436
51403.2,1.67726,3124.29,0.06078,0.0362376
51603.1,1.67077,3200.42,0.06202,0.0371206
51802.9,1.66433,3271.87,0.06316,0.0379493
52002.8,1.65793,3350.02,0.06442,0.0388557
52202.7,1.65158,3417.19,0.06546,0.0396348
52402.6,1.64528,3505.73,0.0669,0.0406618
52602.6,1.63902,3565.4,0.06778,0.0413539
52802.6,1.63282,3664.5,0.0694,0.0425033
53002.4,1.62666,3749.39,0.07074,0.0434879
53202.3,1.62055,3831.63,0.07202,0.0444418
53402.3,1.61448,3893.03,0.0729,0.0451539
53602.2,1.60846,3966.56,0.074,0.0460068
53802.2,1.60248,4048.08,0.07524,0.0469523
54002.1,1.59654,4106.32,0.07604,0.0476279
54202.1,1.59065,4211.51,0.0777,0.0488478
54402,1.58481,4286.88,0.0788,0.0497221
54601.9,1.57901,4375.8,0.08014,0.0507534
54801.9,1.57324,4465.26,0.08148,0.0517911
55001.9,1.56752,4544.26,0.08262,0.0527073
55201.9,1.56185,4633.64,0.08394,0.0537441
55401.9,1.55621,4721.35,0.08522,0.0547613
55601.8,1.55061,4825.12,0.08678,0.055965
55801.8,1.54506,4915.02,0.08808,0.0570077
56001.8,1.53954,5041.28,0.09002,0.0584721
56201.7,1.53406,5151.45,0.09166,0.0597499
56401.7,1.52862,5264.53,0.09334,0.0610615
56601.6,1.52322,5381.68,0.09508,0.0624203
56801.6,1.51786,5472.27,0.09634,0.063471
57001.6,1.51253,5608.96,0.0984,0.0650565
57201.5,1.50725,5728.16,0.10014,0.066439
57401.5,1.502,5841.18,0.10176,0.0677498
57601.5,1.49678,5972.12,0.10368,0.0692687
57801.5,1.4916,6100.37,0.10554,0.0707561
58001.4,1.48646,6221.23,0.10726,0.072158
58201.4,1.48135,6341.63,0.10896,0.0735544
58401.4,1.47628,6463.87,0.11068,0.0749722
58601.4,1.47124,6583.28,0.11234,0.0763572
58801.4,1.46624,6698.66,0.11392,0.0776955
59001.3,1.46127,6839.43,0.11592,0.0793283
59201.4,1.45633,6970.37,0.11774,0.080847
59401.3,1.45143,7102.02,0.11956,0.0823739
59601.2,1.44656,7229.63,0.1213,0.083854
59801.2,1.44172,7368.71,0.12322,0.0854672
60001.2,1.43692,7502.56,0.12504,0.0870196
60201.2,1.43214,7641.94,0.12694,0.0886363
60401.3,1.4274,7808.68,0.12928,0.0905702
60601.2,1.42269,7926.63,0.1308,0.0919384
60801.1,1.41801,8080.47,0.1329,0.0937226
61001.1,1.41336,8237.59,0.13504,0.095545
61201.1,1.40875,8367.41,0.13672,0.0970508
61401,1.40416,8491.76,0.1383,0.0984931
61801,1.39507,8768.33,0.14188,0.101701
62001,1.39057,8919.47,0.14386,0.103454
62201,1.3861,9066.42,0.14576,0.105158
62401,1.38166,9220.37,0.14776,0.106944
62601,1.37724,9368.86,0.14966,0.108666
62801,1.37286,9514.35,0.1515,0.110354
63001,1.3685,9673.17,0.15354,0.112196
63201,1.36417,9825.22,0.15546,0.113959
63401,1.35987,9984.39,0.15748,0.115806
63601,1.35559,10132.9,0.15932,0.117528
63801,1.35134,10294.9,0.16136,0.119407
64000.9,1.34712,10434.7,0.16304,0.121029
64200.9,1.34292,10627.8,0.16554,0.123269
64400.9,1.33875,10730.5,0.16662,0.124459
64600.9,1.33461,10890.4,0.16858,0.126314
64800.9,1.33049,11036.9,0.17032,0.128013
65000.9,1.32639,11193.2,0.1722,0.129826
65200.9,1.32233,11343.7,0.17398,0.131571
65400.9,1.31828,11476.6,0.17548,0.133113
65600.9,1.31426,11646.8,0.17754,0.135087
65800.9,1.31027,11786.3,0.17912,0.136705
66000.8,1.3063,11940.9,0.18092,0.138498
66200.8,1.30235,12057.8,0.18214,0.139855
66400.9,1.29843,12201.8,0.18376,0.141525
66600.9,1.29453,12359.8,0.18558,0.143357
66800.9,1.29065,12487.8,0.18694,0.144841
67000.8,1.2868,12645.7,0.18874,0.146674
67200.8,1.28297,12776.2,0.19012,0.148187
67400.8,1.27917,12942.3,0.19202,0.150113
67600.8,1.27538,13157.8,0.19464,0.152613
67800.9,1.27162,13261.9,0.1956,0.15382
68000.8,1.26788,13374.4,0.19668,0.155125
68201.6,1.26415,13615.8,0.19964,0.157925
68401.7,1.26045,13954,0.204,0.161847
68601.2,1.25678,14060.5,0.20496,0.163083
68800.9,1.25314,14149.6,0.20566,0.164116
69000.8,1.24951,14303.9,0.2073,0.165906
69200.7,1.2459,14415.9,0.20832,0.167205
69400.7,1.24231,14549.2,0.20964,0.168751
69600.7,1.23874,14639.8,0.21034,0.169802
69800.6,1.23519,14725.1,0.21096,0.170792
70000.6,1.23166,14816.3,0.21166,0.17185
70200.6,1.22815,14928.9,0.21266,0.173155
70400.6,1.22466,15015,0.21328,0.174154
70600.6,1.22119,15152.3,0.21462,0.175746
70800.6,1.21774,15253.3,0.21544,0.176918
71000.6,1.21431,15364.5,0.2164,0.178208
71200.6,1.2109,15483.3,0.21746,0.179585
71400.6,1.20751,15601,0.2185,0.180951
71600.6,1.20414,15727.8,0.21966,0.182421
71800.6,1.20078,15814.8,0.22026,0.183431
72000.6,1.19745,15945.2,0.22146,0.184944
72200.6,1.19413,16037.2,0.22212,0.18601
72400.6,1.19083,16143.9,0.22298,0.187247
72600.6,1.18755,16236.4,0.22364,0.18832
72800.6,1.18429,16372.8,0.2249,0.189903
73000.5,1.18104,16468.9,0.2256,0.191018
73200.5,1.17782,16584.3,0.22656,0.192356
73400.5,1.17461,16697.2,0.22748,0.193665
73600.6,1.17142,16831,0.22868,0.195217
73800.6,1.16824,16921,0.22928,0.196261
74000.5,1.16508,17036.4,0.23022,0.1976
74200.6,1.16194,17158.1,0.23124,0.199011
74400.5,1.15882,17260.9,0.232,0.200204
74600.5,1.15571,17384.9,0.23304,0.201642
74800.5,1.15262,17513.8,0.23414,0.203137
75000.5,1.14955,17616.1,0.23488,0.204324
75200.5,1.14649,17706.7,0.23546,0.205374
75400.5,1.14345,17845.8,0.23668,0.206987
75600.5,1.14043,17943,0.23734,0.208115
75800.5,1.13742,18060.2,0.23826,0.209475
76000.5,1.13442,18186.9,0.2393,0.210944
76200.5,1.13145,18288.1,0.24,0.212118
76400.5,1.12848,18415.6,0.24104,0.213596
76600.5,1.12554,18525.1,0.24184,0.214866
76800.5,1.12261,18664.1,0.24302,0.216478
77000.5,1.11969,18749.6,0.2435,0.217471
77200.5,1.11679,18904.9,0.24488,0.219271
77400.5,1.11391,19006.5,0.24556,0.22045
77600.5,1.11103,19134.7,0.24658,0.221937
77800.5,1.10818,19257.2,0.24752,0.223358
78200.5,1.10251,19492.3,0.24926,0.226084
