layer,nr,cvs,kappas,type
0,0,-22.50000000*-7.50000000,2.00000000e+00*2.00000000e+00,node
0,1,-22.50000000*-6.00000000,2.00000000e+00*2.00000000e+00,node
0,2,-22.50000000*-4.50000000,4.00000000e+00*4.00000000e+00,node
0,3,-21.00000000*-9.00000000,2.00000000e+00*2.00000000e+00,node
0,4,-21.00000000*-7.50000000,4.00000000e+00*4.00000000e+00,node
0,5,-21.00000000*-6.00000000,2.00000000e+00*2.00000000e+00,node
0,6,-21.00000000*-4.50000000,2.00000000e+00*2.00000000e+00,node
0,7,-21.00000000*-3.00000000,2.00000000e+00*2.00000000e+00,node
0,8,-21.00000000*-1.50000000,1.00000000e+00*1.00000000e+00,node
0,9,-21.00000000*0.00000000,1.00000000e+00*1.00000000e+00,node
0,10,-21.00000000*1.50000000,2.00000000e+00*2.00000000e+00,node
0,11,-19.50000000*-10.50000000,4.00000000e+00*4.00000000e+00,node
0,12,-19.50000000*-9.00000000,1.60000000e+01*1.60000000e+01,node
0,13,-19.50000000*-7.50000000,4.00000000e+00*4.00000000e+00,node
0,14,-19.50000000*-6.00000000,4.00000000e+00*4.00000000e+00,node
0,15,-19.50000000*-4.50000000,4.00000000e+00*4.00000000e+00,node
0,16,-19.50000000*-3.00000000,2.00000000e+00*2.00000000e+00,node
0,17,-19.50000000*-1.50000000,2.00000000e+00*2.00000000e+00,node
0,18,-19.50000000*0.00000000,1.00000000e+00*1.00000000e+00,node
0,19,-19.50000000*1.50000000,2.00000000e+00*2.00000000e+00,node
0,20,-19.50000000*3.00000000,2.00000000e+00*2.00000000e+00,node
0,21,-19.50000000*4.50000000,8.00000000e+00*8.00000000e+00,node
0,22,-19.50000000*6.00000000,4.00000000e+00*4.00000000e+00,node
0,23,-19.50000000*7.50000000,1.00000000e+00*1.00000000e+00,node
0,24,-19.50000000*9.00000000,8.00000000e+00*8.00000000e+00,node
0,25,-18.00000000*-12.00000000,8.00000000e+00*8.00000000e+00,node
0,26,-18.00000000*-10.50000000,2.00000000e+00*2.00000000e+00,node
0,27,-18.00000000*-9.00000000,2.00000000e+00*2.00000000e+00,node
0,28,-18.00000000*-7.50000000,2.00000000e+00*2.00000000e+00,node
0,29,-18.00000000*-6.00000000,4.00000000e+00*4.00000000e+00,node
0,30,-18.00000000*-4.50000000,4.00000000e+00*4.00000000e+00,node
0,31,-18.00000000*-3.00000000,2.00000000e+00*2.00000000e+00,node
0,32,-18.00000000*-1.50000000,1.00000000e+00*1.00000000e+00,node
0,33,-18.00000000*0.00000000,1.00000000e+00*1.00000000e+00,node
0,34,-18.00000000*1.50000000,1.00000000e+00*1.00000000e+00,node
0,35,-18.00000000*3.00000000,2.00000000e+00*2.00000000e+00,node
0,36,-18.00000000*4.50000000,4.00000000e+00*4.00000000e+00,node
0,37,-18.00000000*6.00000000,4.00000000e+00*4.00000000e+00,node
0,38,-18.00000000*7.50000000,2.00000000e+00*2.00000000e+00,node
0,39,-18.00000000*9.00000000,1.00000000e+00*1.00000000e+00,node
0,40,-18.00000000*10.50000000,4.00000000e+00*4.00000000e+00,node
0,41,-18.00000000*12.00000000,8.00000000e+00*8.00000000e+00,node
0,42,-18.00000000*13.50000000,8.00000000e+00*8.00000000e+00,node
0,43,-18.00000000*15.00000000,8.00000000e+00*8.00000000e+00,node
0,44,-16.50000000*-13.50000000,4.00000000e+00*4.00000000e+00,node
0,45,-16.50000000*-12.00000000,2.00000000e+00*2.00000000e+00,node
0,46,-16.50000000*-10.50000000,1.00000000e+00*1.00000000e+00,node
0,47,-16.50000000*-9.00000000,2.00000000e+00*2.00000000e+00,node
0,48,-16.50000000*-7.50000000,4.00000000e+00*4.00000000e+00,node
0,49,-16.50000000*-6.00000000,8.00000000e+00*8.00000000e+00,node
0,50,-16.50000000*-4.50000000,4.00000000e+00*4.00000000e+00,node
0,51,-16.50000000*-3.00000000,2.00000000e+00*2.00000000e+00,node
0,52,-16.50000000*-1.50000000,2.00000000e+00*2.00000000e+00,node
0,53,-16.50000000*0.00000000,2.00000000e+00*2.00000000e+00,node
0,54,-16.50000000*1.50000000,2.00000000e+00*2.00000000e+00,node
