layer,nr,cvs,kappas,type
0,0,-16.50000000*-9.00000000,4.00000000e+00*4.00000000e+00,node
0,1,-16.50000000*-7.50000000,4.00000000e+00*4.00000000e+00,node
0,2,-16.50000000*-6.00000000,8.00000000e+00*8.00000000e+00,node
0,3,-16.50000000*-4.50000000,2.00000000e+00*2.00000000e+00,node
0,4,-16.50000000*-3.00000000,2.00000000e+00*2.00000000e+00,node
0,5,-16.50000000*-1.50000000,2.00000000e+00*2.00000000e+00,node
0,6,-16.50000000*0.00000000,4.00000000e+00*4.00000000e+00,node
0,7,-16.50000000*1.50000000,4.00000000e+00*4.00000000e+00,node
0,8,-16.50000000*3.00000000,8.00000000e+00*8.00000000e+00,node
0,9,-16.50000000*4.50000000,8.00000000e+00*8.00000000e+00,node
0,10,-16.50000000*6.00000000,2.00000000e+00*2.00000000e+00,node
0,11,-16.50000000*7.50000000,2.00000000e+00*2.00000000e+00,node
0,12,-16.50000000*9.00000000,2.00000000e+00*2.00000000e+00,node
0,13,-15.00000000*-10.50000000,2.00000000e+00*2.00000000e+00,node
0,14,-15.00000000*-9.00000000,4.00000000e+00*4.00000000e+00,node
0,15,-15.00000000*-7.50000000,4.00000000e+00*4.00000000e+00,node
0,16,-15.00000000*-6.00000000,2.00000000e+00*2.00000000e+00,node
0,17,-15.00000000*-4.50000000,2.00000000e+00*2.00000000e+00,node
0,18,-15.00000000*-3.00000000,8.00000000e+00*8.00000000e+00,node
0,19,-15.00000000*-1.50000000,1.60000000e+01*1.60000000e+01,node
0,20,-15.00000000*0.00000000,1.60000000e+01*1.60000000e+01,node
0,21,-15.00000000*1.50000000,8.00000000e+00*8.00000000e+00,node
0,22,-15.00000000*3.00000000,4.00000000e+00*4.00000000e+00,node
0,23,-15.00000000*4.50000000,4.00000000e+00*4.00000000e+00,node
0,24,-15.00000000*6.00000000,1.00000000e+00*1.00000000e+00,node
0,25,-15.00000000*7.50000000,8.00000000e+00*8.00000000e+00,node
0,26,-15.00000000*9.00000000,8.00000000e+00*8.00000000e+00,node
0,27,-15.00000000*10.50000000,2.00000000e+00*2.00000000e+00,node
0,28,-13.50000000*-10.50000000,2.00000000e+00*2.00000000e+00,node
0,29,-13.50000000*-9.00000000,4.00000000e+00*4.00000000e+00,node
0,30,-13.50000000*-7.50000000,2.00000000e+00*2.00000000e+00,node
0,31,-13.50000000*-6.00000000,2.00000000e+00*2.00000000e+00,node
0,32,-13.50000000*-4.50000000,8.00000000e+00*8.00000000e+00,node
0,33,-13.50000000*-3.00000000,4.00000000e+00*4.00000000e+00,node
0,34,-13.50000000*-1.50000000,4.00000000e+00*4.00000000e+00,node
0,35,-13.50000000*0.00000000,4.00000000e+00*4.00000000e+00,node
0,36,-13.50000000*1.50000000,4.00000000e+00*4.00000000e+00,node
0,37,-13.50000000*3.00000000,4.00000000e+00*4.00000000e+00,node
0,38,-13.50000000*4.50000000,2.00000000e+00*2.00000000e+00,node
0,39,-13.50000000*6.00000000,2.00000000e+00*2.00000000e+00,node
0,40,-13.50000000*7.50000000,2.00000000e+00*2.00000000e+00,node
0,41,-13.50000000*9.00000000,4.00000000e+00*4.00000000e+00,node
0,42,-13.50000000*10.50000000,2.00000000e+00*2.00000000e+00,node
