layer,nr,cvs,kappas,type
0,0,-21.00000000*-9.00000000,2.00000000e+00*2.00000000e+00,node
0,1,-21.00000000*-7.50000000,8.00000000e+00*8.00000000e+00,node
0,2,-21.00000000*-6.00000000,1.60000000e+01*1.60000000e+01,node
0,3,-19.50000000*-9.00000000,4.00000000e+00*4.00000000e+00,node
0,4,-19.50000000*-7.50000000,1.60000000e+01*1.60000000e+01,node
0,5,-19.50000000*-6.00000000,8.00000000e+00*8.00000000e+00,node
0,6,-19.50000000*-4.50000000,1.60000000e+01*1.60000000e+01,node
0,7,-19.50000000*-3.00000000,4.00000000e+00*4.00000000e+00,node
0,8,-19.50000000*-1.50000000,4.00000000e+00*4.00000000e+00,node
0,9,-19.50000000*0.00000000,4.00000000e+00*4.00000000e+00,node
0,10,-19.50000000*1.50000000,4.00000000e+00*4.00000000e+00,node
0,11,-19.50000000*3.00000000,4.00000000e+00*4.00000000e+00,node
0,12,-19.50000000*4.50000000,2.00000000e+00*2.00000000e+00,node
0,13,-19.50000000*6.00000000,3.20000000e+01*3.20000000e+01,node
0,14,-18.00000000*-10.50000000,8.00000000e+00*8.00000000e+00,node
0,15,-18.00000000*-9.00000000,8.00000000e+00*8.00000000e+00,node
0,16,-18.00000000*-7.50000000,1.60000000e+01*1.60000000e+01,node
0,17,-18.00000000*-6.00000000,3.20000000e+01*3.20000000e+01,node
0,18,-18.00000000*-4.50000000,2.00000000e+00*2.00000000e+00,node
0,19,-18.00000000*-3.00000000,2.00000000e+00*2.00000000e+00,node
0,20,-18.00000000*-1.50000000,2.00000000e+00*2.00000000e+00,node
0,21,-18.00000000*0.00000000,2.00000000e+00*2.00000000e+00,node
0,22,-18.00000000*1.50000000,4.00000000e+00*4.00000000e+00,node
0,23,-18.00000000*3.00000000,4.00000000e+00*4.00000000e+00,node
0,24,-18.00000000*4.50000000,2.00000000e+00*2.00000000e+00,node
0,25,-18.00000000*6.00000000,3.20000000e+01*3.20000000e+01,node
0,26,-18.00000000*7.50000000,1.60000000e+01*1.60000000e+01,node
0,27,-18.00000000*9.00000000,4.00000000e+00*4.00000000e+00,node
0,28,-18.00000000*10.50000000,4.00000000e+00*4.00000000e+00,node
0,29,-18.00000000*12.00000000,1.60000000e+01*1.60000000e+01,node
0,30,-18.00000000*13.50000000,2.00000000e+00*2.00000000e+00,node
0,31,-16.50000000*-12.00000000,1.60000000e+01*1.60000000e+01,node
0,32,-16.50000000*-10.50000000,4.00000000e+00*4.00000000e+00,node
0,33,-16.50000000*-9.00000000,2.00000000e+00*2.00000000e+00,node
0,34,-16.50000000*-7.50000000,4.00000000e+00*4.00000000e+00,node
0,35,-16.50000000*-6.00000000,4.00000000e+00*4.00000000e+00,node
0,36,-16.50000000*-4.50000000,4.00000000e+00*4.00000000e+00,node
0,37,-16.50000000*-3.00000000,4.00000000e+00*4.00000000e+00,node
0,38,-16.50000000*-1.50000000,4.00000000e+00*4.00000000e+00,node
0,39,-16.50000000*0.00000000,4.00000000e+00*4.00000000e+00,node
0,40,-16.50000000*1.50000000,4.00000000e+00*4.00000000e+00,node
0,41,-16.50000000*3.00000000,2.00000000e+00*2.00000000e+00,node
0,42,-16.50000000*4.50000000,4.00000000e+00*4.00000000e+00,node
0,43,-16.50000000*6.00000000,1.60000000e+01*1.60000000e+01,node
0,44,-16.50000000*7.50000000,4.00000000e+00*4.00000000e+00,node
0,45,-16.50000000*9.00000000,8.00000000e+00*8.00000000e+00,node
0,46,-16.50000000*10.50000000,4.00000000e+00*4.00000000e+00,node
0,47,-16.50000000*12.00000000,1.60000000e+01*1.60000000e+01,node
0,48,-16.50000000*13.50000000,8.00000000e+00*8.00000000e+00,node
0,49,-15.00000000*-13.50000000,1.60000000e+01*1.60000000e+01,node
0,50,-15.00000000*-12.00000000,4.00000000e+00*4.00000000e+00,node
0,51,-15.00000000*-10.50000000,4.00000000e+00*4.00000000e+00,node
0,52,-15.00000000*-9.00000000,2.00000000e+00*2.00000000e+00,node
0,53,-15.00000000*-7.50000000,4.00000000e+00*4.00000000e+00,node
0,54,-15.00000000*-6.00000000,4.00000000e+00*4.00000000e+00,node
0,55,-15.00000000*-4.50000000,4.00000000e+00*4.00000000e+00,node
0,56,-15.00000000*-3.00000000,4.00000000e+00*4.00000000e+00,node
0,57,-15.00000000*-1.50000000,4.00000000e+00*4.00000000e+00,node
0,58,-15.00000000*0.00000000,8.00000000e+00*8.00000000e+00,node
0,59,-15.00000000*1.50000000,4.00000000e+00*4.00000000e+00,node
0,60,-15.00000000*3.00000000,4.00000000e+00*4.00000000e+00,node
0,61,-15.00000000*4.50000000,8.00000000e+00*8.00000000e+00,node
0,62,-15.00000000*6.00000000,1.60000000e+01*1.60000000e+01,node
0,63,-15.00000000*7.50000000,4.00000000e+00*4.00000000e+00,node
0,64,-15.00000000*9.00000000,2.00000000e+00*2.00000000e+00,node
0,65,-15.00000000*10.50000000,8.00000000e+00*8.00000000e+00,node
0,66,-15.00000000*12.00000000,3.20000000e+01*3.20000000e+01,node
0,67,-15.00000000*13.50000000,1.60000000e+01*1.60000000e+01,node
0,68,-15.00000000*15.00000000,4.00000000e+00*4.00000000e+00,node
0,69,-13.50000000*-15.00000000,2.00000000e+00*2.00000000e+00,node
0,70,-13.50000000*-13.50000000,4.00000000e+00*4.00000000e+00,node
0,71,-13.50000000*-12.00000000,3.20000000e+01*3.20000000e+01,node
0,72,-13.50000000*-10.50000000,1.60000000e+01*1.60000000e+01,node
0,73,-13.50000000*-9.00000000,4.00000000e+00*4.00000000e+00,node
0,74,-13.50000000*-7.50000000,4.00000000e+00*4.00000000e+00,node
0,75,-13.50000000*-6.00000000,4.00000000e+00*4.00000000e+00,node
0,76,-13.50000000*-4.50000000,1.60000000e+01*1.60000000e+01,node
0,77,-13.50000000*-3.00000000,4.00000000e+00*4.00000000e+00,node
0,78,-13.50000000*-1.50000000,4.00000000e+00*4.00000000e+00,node
0,79,-13.50000000*0.00000000,8.00000000e+00*8.00000000e+00,node
0,80,-13.50000000*1.50000000,4.00000000e+00*4.00000000e+00,node
0,81,-13.50000000*3.00000000,4.00000000e+00*4.00000000e+00,node
0,82,-13.50000000*4.50000000,4.00000000e+00*4.00000000e+00,node
0,83,-13.50000000*6.00000000,4.00000000e+00*4.00000000e+00,node
0,84,-13.50000000*7.50000000,4.00000000e+00*4.00000000e+00,node
0,85,-13.50000000*9.00000000,2.00000000e+00*2.00000000e+00,node
0,86,-13.50000000*10.50000000,3.20000000e+01*3.20000000e+01,node
0,87,-13.50000000*12.00000000,4.00000000e+00*4.00000000e+00,node
0,88,-13.50000000*13.50000000,2.00000000e+00*2.00000000e+00,node
0,89,-13.50000000*15.00000000,4.00000000e+00*4.00000000e+00,node
0,90,-12.00000000*-15.00000000,2.00000000e+00*2.00000000e+00,node
0,91,-12.00000000*-13.50000000,2.00000000e+00*2.00000000e+00,node
0,92,-12.00000000*-12.00000000,2.00000000e+00*2.00000000e+00,node
0,93,-12.00000000*-10.50000000,8.00000000e+00*8.00000000e+00,node
0,94,-12.00000000*-9.00000000,4.00000000e+00*4.00000000e+00,node
0,95,-12.00000000*-7.50000000,4.00000000e+00*4.00000000e+00,node
0,96,-12.00000000*-6.00000000,4.00000000e+00*4.00000000e+00,node
0,97,-12.00000000*-4.50000000,8.00000000e+00*8.00000000e+00,node
0,98,-12.00000000*-3.00000000,8.00000000e+00*8.00000000e+00,node
0,99,-12.00000000*-1.50000000,8.00000000e+00*8.00000000e+00,node
0,100,-12.00000000*0.00000000,8.00000000e+00*8.00000000e+00,node
0,101,-12.00000000*1.50000000,8.00000000e+00*8.00000000e+00,node
0,102,-12.00000000*3.00000000,8.00000000e+00*8.00000000e+00,node
