layer,nr,cvs,kappas,type
1,0,-3.75000000*0.75000000,3.20000000e+01*3.20000000e+01,node
1,1,-3.00000000*0.75000000,8.00000000e+00*8.00000000e+00,node
1,2,-2.25000000*-2.25000000,1.60000000e+01*1.60000000e+01,node
1,3,-2.25000000*0.75000000,1.00000000e+00*1.00000000e+00,node
1,4,-2.25000000*1.50000000,2.00000000e+00*2.00000000e+00,node
1,5,-2.25000000*2.25000000,1.60000000e+01*1.60000000e+01,node
1,6,-1.50000000*-2.25000000,2.00000000e+00*2.00000000e+00,node
1,7,-1.50000000*2.25000000,4.00000000e+00*4.00000000e+00,node
1,8,-0.75000000*-3.75000000,3.20000000e+01*3.20000000e+01,node
1,9,-0.75000000*-3.00000000,1.60000000e+01*1.60000000e+01,node
1,10,-0.75000000*-2.25000000,2.00000000e+00*2.00000000e+00,node
1,11,-0.75000000*-1.50000000,2.00000000e+00*2.00000000e+00,node
1,12,-0.75000000*-0.75000000,4.00000000e+00*4.00000000e+00,node
1,13,-0.75000000*0.75000000,8.00000000e+00*8.00000000e+00,node
1,14,-0.75000000*1.50000000,2.00000000e+00*2.00000000e+00,node
1,15,-0.75000000*2.25000000,1.00000000e+00*1.00000000e+00,node
1,16,-0.75000000*3.00000000,8.00000000e+00*8.00000000e+00,node
1,17,-0.75000000*3.75000000,3.20000000e+01*3.20000000e+01,node
1,18,0.00000000*-2.25000000,2.00000000e+00*2.00000000e+00,node
1,19,0.00000000*2.25000000,2.00000000e+00*2.00000000e+00,node
1,20,0.75000000*-3.75000000,3.20000000e+01*3.20000000e+01,node
1,21,0.75000000*-3.00000000,1.60000000e+01*1.60000000e+01,node
1,22,0.75000000*-2.25000000,4.00000000e+00*4.00000000e+00,node
1,23,0.75000000*-1.50000000,1.00000000e+00*1.00000000e+00,node
1,24,0.75000000*-0.75000000,8.00000000e+00*8.00000000e+00,node
1,25,0.75000000*0.75000000,8.00000000e+00*8.00000000e+00,node
1,26,0.75000000*1.50000000,2.00000000e+00*2.00000000e+00,node
1,27,0.75000000*2.25000000,1.00000000e+00*1.00000000e+00,node
1,28,0.75000000*3.00000000,8.00000000e+00*8.00000000e+00,node
1,29,0.75000000*3.75000000,3.20000000e+01*3.20000000e+01,node
1,30,1.50000000*-2.25000000,4.00000000e+00*4.00000000e+00,node
1,31,1.50000000*-0.75000000,2.00000000e+00*2.00000000e+00,node
1,32,1.50000000*0.75000000,4.00000000e+00*4.00000000e+00,node
1,33,1.50000000*2.25000000,4.00000000e+00*4.00000000e+00,node
1,34,2.25000000*-2.25000000,8.00000000e+00*8.00000000e+00,node
1,35,2.25000000*-0.75000000,2.00000000e+00*2.00000000e+00,node
1,36,2.25000000*0.00000000,1.00000000e+00*1.00000000e+00,node
1,37,2.25000000*0.75000000,2.00000000e+00*2.00000000e+00,node
1,38,2.25000000*1.50000000,4.00000000e+00*4.00000000e+00,node
1,39,2.25000000*2.25000000,1.60000000e+01*1.60000000e+01,node
1,40,3.00000000*0.75000000,8.00000000e+00*8.00000000e+00,node
1,41,3.75000000*0.75000000,3.20000000e+01*3.20000000e+01,node
1,42,-3.00000000*0.00000000,8.00000000e+00*8.00000000e+00,realized_benchmark_node
1,43,-3.00000000*1.50000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,44,-1.50000000*-3.00000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,45,-1.50000000*1.50000000,2.00000000e+00*2.00000000e+00,realized_benchmark_node
1,46,-1.50000000*3.00000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,47,0.00000000*-3.00000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,48,0.00000000*-1.50000000,2.00000000e+00*2.00000000e+00,realized_benchmark_node
1,49,0.00000000*1.50000000,2.00000000e+00*2.00000000e+00,realized_benchmark_node
1,50,0.00000000*3.00000000,8.00000000e+00*8.00000000e+00,realized_benchmark_node
1,51,1.50000000*-3.00000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,52,1.50000000*-1.50000000,2.00000000e+00*2.00000000e+00,realized_benchmark_node
1,53,1.50000000*1.50000000,4.00000000e+00*4.00000000e+00,realized_benchmark_node
1,54,1.50000000*3.00000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,55,3.00000000*0.00000000,8.00000000e+00*8.00000000e+00,realized_benchmark_node
1,56,3.00000000*1.50000000,1.60000000e+01*1.60000000e+01,realized_benchmark_node
1,57,-18.75000000*-3.75000000,1.60000000e+01*1.60000000e+01,node
1,58,-18.75000000*-3.00000000,1.60000000e+01*1.60000000e+01,node
1,59,-18.75000000*-2.25000000,8.00000000e+00*8.00000000e+00,node
1,60,-12.75000000*-12.75000000,8.00000000e+00*8.00000000e+00,node
1,61,-12.00000000*-12.75000000,1.60000000e+01*1.60000000e+01,node
1,62,-11.25000000*-12.75000000,4.00000000e+00*4.00000000e+00,node
1,63,-6.75000000*-17.25000000,8.00000000e+00*8.00000000e+00,node
1,64,-6.00000000*-17.25000000,1.60000000e+01*1.60000000e+01,node
1,65,-5.25000000*-17.25000000,1.60000000e+01*1.60000000e+01,node
1,66,-3.75000000*-0.75000000,3.20000000e+01*3.20000000e+01,node
1,67,-3.00000000*-0.75000000,1.60000000e+01*1.60000000e+01,node
1,68,-2.25000000*-1.50000000,8.00000000e+00*8.00000000e+00,node
1,69,-2.25000000*-0.75000000,4.00000000e+00*4.00000000e+00,node
1,70,-2.25000000*0.00000000,1.00000000e+00*1.00000000e+00,node
1,71,-1.50000000*-0.75000000,2.00000000e+00*2.00000000e+00,node
1,72,-1.50000000*0.75000000,2.00000000e+00*2.00000000e+00,node
1,73,-0.75000000*18.75000000,1.60000000e+01*1.60000000e+01,node
1,74,0.00000000*18.75000000,1.60000000e+01*1.60000000e+01,node
1,75,0.75000000*17.25000000,8.00000000e+00*8.00000000e+00,node
1,76,0.75000000*18.00000000,1.60000000e+01*1.60000000e+01,node
1,77,0.75000000*18.75000000,8.00000000e+00*8.00000000e+00,node
1,78,2.25000000*-1.50000000,4.00000000e+00*4.00000000e+00,node
1,79,3.00000000*-0.75000000,8.00000000e+00*8.00000000e+00,node
1,80,3.75000000*-0.75000000,3.20000000e+01*3.20000000e+01,node
1,81,5.25000000*-17.25000000,3.20000000e+01*3.20000000e+01,node
1,82,5.25000000*15.75000000,1.60000000e+01*1.60000000e+01,node
1,83,5.25000000*16.50000000,2.00000000e+00*2.00000000e+00,node
1,84,5.25000000*17.25000000,8.00000000e+00*8.00000000e+00,node
1,85,6.00000000*-17.25000000,8.00000000e+00*8.00000000e+00,node
1,86,6.00000000*17.25000000,8.00000000e+00*8.00000000e+00,node
1,87,6.75000000*-18.75000000,8.00000000e+00*8.00000000e+00,node
1,88,6.75000000*-18.00000000,8.00000000e+00*8.00000000e+00,node
1,89,6.75000000*-17.25000000,8.00000000e+00*8.00000000e+00,node
1,90,6.75000000*-16.50000000,4.00000000e+00*4.00000000e+00,node
1,91,6.75000000*-15.75000000,4.00000000e+00*4.00000000e+00,node
1,92,6.75000000*17.25000000,1.60000000e+01*1.60000000e+01,node
1,93,6.75000000*18.00000000,8.00000000e+00*8.00000000e+00,node
1,94,6.75000000*18.75000000,1.60000000e+01*1.60000000e+01,node
1,95,7.50000000*-17.25000000,1.60000000e+01*1.60000000e+01,node
1,96,7.50000000*18.75000000,8.00000000e+00*8.00000000e+00,node
1,97,8.25000000*-17.25000000,1.60000000e+01*1.60000000e+01,node
1,98,8.25000000*18.75000000,3.20000000e+01*3.20000000e+01,node
