layer,nr,cvs,kappas,type
0,0,-15.00000000*-4.50000000,4.00000000e+00*4.00000000e+00,node
0,1,-15.00000000*-3.00000000,4.00000000e+00*4.00000000e+00,node
0,2,-15.00000000*-1.50000000,4.00000000e+00*4.00000000e+00,node
0,3,-15.00000000*0.00000000,4.00000000e+00*4.00000000e+00,node
0,4,-13.50000000*-6.00000000,2.00000000e+00*2.00000000e+00,node
0,5,-13.50000000*-4.50000000,4.00000000e+00*4.00000000e+00,node
0,6,-13.50000000*-3.00000000,4.00000000e+00*4.00000000e+00,node
0,7,-13.50000000*-1.50000000,4.00000000e+00*4.00000000e+00,node
0,8,-13.50000000*0.00000000,8.00000000e+00*8.00000000e+00,node
0,9,-13.50000000*1.50000000,4.00000000e+00*4.00000000e+00,node
0,10,-13.50000000*3.00000000,4.00000000e+00*4.00000000e+00,node
0,11,-12.00000000*-7.50000000,2.00000000e+00*2.00000000e+00,node
0,12,-12.00000000*-6.00000000,2.00000000e+00*2.00000000e+00,node
0,13,-12.00000000*-4.50000000,2.00000000e+00*2.00000000e+00,node
0,14,-12.00000000*-3.00000000,4.00000000e+00*4.00000000e+00,node
0,15,-12.00000000*-1.50000000,4.00000000e+00*4.00000000e+00,node
0,16,-12.00000000*0.00000000,4.00000000e+00*4.00000000e+00,node
0,17,-12.00000000*1.50000000,4.00000000e+00*4.00000000e+00,node
0,18,-12.00000000*3.00000000,4.00000000e+00*4.00000000e+00,node
0,19,-12.00000000*4.50000000,2.00000000e+00*2.00000000e+00,node
0,20,-12.00000000*6.00000000,4.00000000e+00*4.00000000e+00,node
0,21,-12.00000000*7.50000000,8.00000000e+00*8.00000000e+00,node
0,22,-10.50000000*-9.00000000,4.00000000e+00*4.00000000e+00,node
0,23,-10.50000000*-7.50000000,4.00000000e+00*4.00000000e+00,node
0,24,-10.50000000*-6.00000000,4.00000000e+00*4.00000000e+00,node
0,25,-10.50000000*-4.50000000,4.00000000e+00*4.00000000e+00,node
0,26,-10.50000000*-3.00000000,4.00000000e+00*4.00000000e+00,node
0,27,-10.50000000*-1.50000000,4.00000000e+00*4.00000000e+00,node
0,28,-10.50000000*0.00000000,4.00000000e+00*4.00000000e+00,node
0,29,-10.50000000*1.50000000,4.00000000e+00*4.00000000e+00,node
0,30,-10.50000000*3.00000000,4.00000000e+00*4.00000000e+00,node
0,31,-10.50000000*4.50000000,2.00000000e+00*2.00000000e+00,node
0,32,-10.50000000*6.00000000,4.00000000e+00*4.00000000e+00,node
0,33,-10.50000000*7.50000000,4.00000000e+00*4.00000000e+00,node
0,34,-10.50000000*9.00000000,4.00000000e+00*4.00000000e+00,node
0,35,-10.50000000*10.50000000,2.00000000e+00*2.00000000e+00,node
0,36,-10.50000000*12.00000000,4.00000000e+00*4.00000000e+00,node
0,37,-9.00000000*-10.50000000,4.00000000e+00*4.00000000e+00,node
0,38,-9.00000000*-9.00000000,4.00000000e+00*4.00000000e+00,node
0,39,-9.00000000*-7.50000000,4.00000000e+00*4.00000000e+00,node
